Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SSC (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"Percentage: Row"

"AGE5P - Age in Five Year Groups","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","Total",
"Brisbane City",2.3993235,1.3212134,1.046401,6.8280309,19.1100307,19.5856675,13.645492,6.7963217,5.2108657,4.6506712,4.4709862,4.4181376,3.9742099,2.9278089,1.6065955,1.1732375,0.4967762,0.2642427,0.0951274,0,0,100,
"Brookfield (Qld)",2.8328612,7.1104816,8.3286119,8.7252125,6.7422096,1.9546742,1.9263456,3.3144476,6.4872521,8.611898,9.0651558,8.1869688,6.9121813,5.8356941,4.3909348,3.0028329,2.2379603,2.407932,1.0764873,0.5665722,0.0849858,100,
"Bulimba",6.2856308,6.7533986,5.3062418,4.9992691,5.408566,7.367344,9.4430639,8.5659991,8.4052039,8.8875895,7.7474054,5.7593919,4.6338255,3.7129075,2.1780441,1.6810408,1.4471568,0.9940067,0.4970034,0.0877065,0,100,
"Bulwer",0,6.6666667,0,0,0,8.8888889,15.5555556,11.1111111,0,8.8888889,0,6.6666667,8.8888889,0,6.6666667,6.6666667,0,0,0,0,0,100,
"Burbank",2.7671756,7.5381679,8.3969466,8.6832061,4.4847328,3.2442748,3.6259542,3.4351145,7.7290076,8.778626,8.3015267,7.8244275,6.3931298,7.5381679,6.9656489,3.2442748,1.8129771,0.3816794,0,0.2862595,0,100,
"Calamvale",8.33382,6.8971559,5.2152076,6.190504,8.0885359,10.6056182,10.6114583,8.6199848,6.5876307,6.0620218,5.2444081,4.7713602,4.5143958,3.2821351,1.9213923,1.3490627,0.893535,0.5431291,0.2452841,0.0467208,0,100,
"Camp Hill",7.635292,8.2961243,7.5906412,6.2064654,6.2064654,6.1618146,7.5906412,8.4122165,9.3588141,8.8051438,5.8760493,5.0991248,3.5363458,2.9112341,1.9199857,1.4824076,1.3038043,1.0626898,0.5090195,0.0982318,0,100,
"Cannon Hill",7.5519422,6.5401987,5.0948509,4.6793135,8.3468835,9.7199639,9.1779584,9.3044264,7.7506775,6.4679313,5.5284553,4.968383,3.8843722,2.9448961,2.131888,1.9692864,1.5898826,1.4814815,0.5781391,0,0,100,
"Carina (Qld)",6.7598222,5.6982125,4.5640142,5.0449143,7.0592505,8.411215,9.5363397,8.2932583,6.7144542,6.3333636,5.4260049,5.1084294,4.6184557,4.0649669,3.1303874,3.1485346,2.3319118,2.195808,1.1069776,0.3992378,0.0362943,100,
"Carina Heights",6.4319667,4.8871064,4.6048723,5.9714795,8.4373143,10.2198455,9.8781937,8.2442068,6.6399287,5.9714795,6.164587,5.7189542,4.8722519,4.040404,2.926322,1.8716578,1.5300059,1.0398099,0.4307784,0.103981,0,100,
"Carindale",4.7331639,5.8958069,6.3977128,7.7636595,7.2426938,4.7966963,4.6505718,5.2604828,6.4993647,7.566709,8.0177891,7.8780178,6.8678526,5.1715375,4.0660737,2.9606099,2.0012706,1.613723,0.5336722,0.0952986,0,100,
"Carseldine",6.1517502,5.5543911,4.998952,5.2399916,5.8268707,6.5185496,7.4303081,7.0006288,6.1831901,5.9526305,6.1098302,5.4391113,5.4391113,5.1142318,4.6216726,3.8566338,3.4479145,2.9134353,1.5824775,0.5135192,0,100,
"Chandler (Qld)",4.1666667,7.5694444,7.7777778,9.0277778,6.1111111,3.75,3.1944444,4.9305556,6.4583333,7.9861111,8.2638889,7.5,7.2916667,6.1805556,4.2361111,2.5694444,1.6666667,1.0416667,0,0,0,100,
"Chapel Hill (Qld)",5.5280854,7.4268196,6.4873418,7.0015823,6.8136867,3.8172468,4.8655063,6.2203323,8.0201741,7.2191456,6.9323576,6.8532437,6.3884494,6.3291139,4.3512658,2.5118671,1.6416139,1.0581487,0.4845728,0.1780063,0.0890032,100,
"Chelmer",5.9,8.1,9.2,8.6,5.6,3.3666667,4.0666667,6.1666667,8.2,8.4666667,7.3666667,6.6,5.0666667,4.5666667,2.9,2.0333333,1.5333333,1.1333333,0.6,0,0,100,
"Chermside",5.8078368,4.0257649,3.1669351,4.0150295,9.6081589,11.8196457,11.0574342,7.0316694,5.8507783,4.9275362,4.3585615,4.863124,3.9076758,3.252818,3.7144391,3.4675255,3.2742888,3.0810521,1.8894257,0.6655931,0.085883,100,
"Chermside West",5.1718798,6.1628987,6.0390214,6.3177454,6.2093527,6.2403221,6.7513162,6.2093527,6.5655002,7.0300403,6.8906782,5.4815732,5.2647879,4.0569836,4.4286157,4.4750697,3.4221121,1.9355838,1.0374729,0.3096934,0,100,
"Chuwar",6.5478842,8.0623608,8.1959911,8.6414254,6.9487751,6.7706013,5.7461024,5.701559,6.9933185,7.7060134,8.5077951,6.8596882,5.2561247,3.9198218,1.9599109,1.5144766,0.5790646,0.3563474,0,0,0,100,
"Clayfield",5.1245619,5.0108932,5.370844,5.8160462,7.4547693,9.8891731,9.6807805,7.862082,7.2179596,6.9432604,6.592782,5.8065738,4.8403903,3.8931515,3.0974709,2.0555082,1.5250545,1.0040731,0.5967604,0.170503,0,100,
"Coopers Plains",6.0926669,4.7245531,4.2685151,5.7643196,11.2732579,12.4407151,10.2517329,7.2966071,5.709595,6.0197008,5.6001459,4.615104,4.4691718,3.4841299,2.7727107,2.4990879,1.5687705,0.9485589,0.3830719,0.0547246,0,100,
"Coorparoo",5.3546208,5.2072459,5.0353086,4.7098557,8.7503838,11.1759288,10.9855695,8.0073687,7.307338,6.6748542,5.8704329,5.3177771,4.0282469,3.3650599,2.3702794,2.0878109,1.6579675,1.2833896,0.6509057,0.1719374,0,100,
"Corinda",5.2714709,7.1865745,7.6406713,6.8706811,6.159921,5.5676209,5.923001,6.5942744,7.3050346,7.976308,6.8509378,5.863771,5.2714709,5.3504442,3.2379072,2.4876604,1.5992103,1.8558736,0.8292201,0.2566634,0,100,
"Cowan Cowan",0,0,0,0,0,0,14.2857143,0,0,0,10.7142857,10.7142857,39.2857143,28.5714286,14.2857143,0,0,0,0,0,0,100,
