Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SSC (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"Percentage: Row"

"AGE5P - Age in Five Year Groups","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","Total",
"McDowall",6.4944038,7.1438441,7.1023905,7.0609369,6.7845792,5.0435263,5.9969601,6.3147713,7.4892911,7.8623739,6.4114965,6.922758,5.6653309,5.3613376,3.4959237,2.4457648,1.3541523,0.7323477,0.1796324,0,0,100,
"Middle Park (Qld)",5.8154235,6.7509482,6.3716814,7.7117573,5.8659924,5.2338812,5.1580278,6.2958281,6.9026549,7.5094817,7.4083439,7.863464,6.8015171,6.2199747,3.5145386,1.7446271,1.4917826,1.0366625,0.4045512,0,0,100,
"Milton (Qld)",4.091509,3.1676199,2.683678,4.7514298,17.2459305,19.4896612,11.8345799,7.1711395,5.3673559,5.3673559,5.0153982,4.1794985,4.0035196,2.3757149,1.6278047,1.1438627,0.5279366,0.1759789,0,0,0,100,
"Mitchelton",8.0392615,7.5134377,5.4919374,5.667212,5.7606918,6.8473943,7.6419724,8.4014957,8.69362,6.8123393,5.9827062,5.0128535,4.2416452,3.5639168,2.5706941,1.8462258,1.8345408,2.0916102,1.4372517,0.4907689,0.0701098,100,
"Moggill",8.1430418,9.7587247,7.8629901,7.561396,5.1271004,4.4808272,7.1736321,7.9491598,8.8754847,8.3584662,6.0318828,4.222318,3.4037053,3.4037053,2.4989229,2.7143473,1.4002585,0.8186127,0.1292546,0,0,100,
"Moorooka",7.109782,5.7785067,4.3218213,5.0453405,8.1902373,9.232105,9.8398611,8.3156473,7.3702489,7.4667181,6.3283812,5.2865136,4.0227667,3.7044183,2.4696122,1.9872661,1.8329153,1.0901023,0.5112869,0.0771754,0,100,
"Morningside",6.9077378,5.1903444,3.845053,4.3221067,8.9018223,13.9776739,12.8899914,9.4074993,7.7568934,6.2016983,4.9899819,3.9500048,3.721019,2.7669116,1.669688,1.2975861,1.0399771,0.7537449,0.3625608,0.0381643,0,100,
"Mount Crosby",5.6706652,9.3238822,10.4689204,7.306434,4.3075245,2.0719738,4.089422,7.2519084,10.087241,11.0687023,8.9967285,6.7066521,5.0163577,3.3260632,2.0719738,1.5812432,0.5452563,0.2181025,0,0,0,100,
"Mount Gravatt",6.7161961,5.4383358,4.9331352,7.0430906,7.6968796,7.2808321,9.3016345,7.4294205,6.7161961,6.0326895,5.6760773,5.3789004,4.0713224,4.9925706,3.179792,3.179792,2.7340267,1.5750371,0.7429421,0.1188707,0,100,
"Mount Gravatt East",6.7820946,5.9037162,5.7347973,5.7094595,7.8125,9.4932432,9.4087838,7.9476351,7.4493243,6.3935811,5.9290541,5.0253378,3.9780405,3.6148649,2.7956081,2.1706081,1.8834459,1.1908784,0.5236486,0.1435811,0.0506757,100,
"Mount Ommaney",3.9373412,4.9534293,5.8001693,6.2658764,6.0118544,3.6833192,3.8950042,5.0804403,5.5884843,7.3243014,7.9593565,7.4089754,8.3827265,8.5097375,5.8001693,3.3022862,2.5402202,1.8628281,0.9314141,0.296359,0,100,
"Murarrie",7.2308765,7.3471286,5.5335968,5.8126017,6.5566147,9.0444083,9.5791676,9.0211579,8.2073936,7.4401302,5.5103464,5.9521042,4.859335,3.1853057,1.9762846,1.3950244,0.5580098,0.5812602,0.1395024,0.1627528,0,100,
"Nathan",3.9763113,3.3840948,2.7072758,17.1742809,18.7817259,9.4754653,7.2758037,5.8375635,4.822335,4.4839255,4.7377327,3.3840948,2.8764805,4.1455161,3.4686971,1.3536379,0.9306261,0.5076142,0,0,0,100,
"New Farm",3.5401052,2.9500877,2.1447935,2.3281773,8.0609153,14.0169032,12.0634668,8.9140488,6.6496572,6.378568,6.0596396,5.4536756,5.6450327,4.9673098,3.5161856,2.5275076,1.785999,1.6743741,1.0125977,0.2232499,0.0318928,100,
"Newmarket",5.3635998,4.8011249,5.0220972,6.9505826,12.9770992,11.570912,9.401366,6.6492567,6.4885496,6.6693451,6.0867818,4.5600643,3.6962636,2.6114906,2.2498996,1.446364,1.1249498,1.2655685,0.7633588,0.3415026,0,100,
"Newstead (Qld)",2.5547445,0.9580292,0.5474453,1.6423358,8.6678832,19.6167883,15.2828467,8.850365,6.0218978,4.6989051,5.0638686,4.6532847,5.6569343,4.8813869,4.790146,2.8740876,1.870438,0.8211679,0.2737226,0,0,100,
"Norman Park",7.095132,7.095132,6.1883551,5.1543112,7.7951002,8.5109768,9.7518295,8.2087178,8.5109768,7.9700923,6.7292396,5.1702195,3.9611836,3.4680242,1.8294623,0.906777,0.7476933,0.477251,0.2863506,0.0795418,0,100,
"Northgate (Qld)",6.6958425,5.4923414,4.5076586,5.0109409,7.7242888,11.3129103,10.7221007,8.249453,7.4179431,6.6739606,6.4989059,5.5579869,4.6827133,3.6323851,2.4507659,1.5317287,1.0065646,0.547046,0.3282276,0.0656455,0,100,
"Nudgee",7.2706935,6.8512304,5.6767338,4.893736,5.5089485,6.0402685,7.6621924,9.7595078,8.3053691,6.2360179,6.0402685,5.2013423,4.3624161,3.7751678,2.4328859,2.712528,2.3210291,2.3489933,2.1252796,0.7550336,0.1957494,100,
"Nudgee Beach",5.6390977,2.6315789,3.0075188,5.2631579,3.0075188,5.2631579,7.518797,3.7593985,7.1428571,6.0150376,7.1428571,10.5263158,8.6466165,9.7744361,5.2631579,3.7593985,2.2556391,0,0,0,0,100,
"Nundah",5.4530478,3.8797364,3.4019769,3.7644152,9.8846787,14.291598,12.5288303,8.937397,6.8121911,6.1285008,5.4530478,5.1317957,4.398682,3.1878089,2.1169687,1.5650741,1.3756178,0.9967051,0.5518946,0.1729819,0,100,
"Oxley (Qld)",8.1664468,6.7634009,6.1758005,5.2164528,6.2237678,8.3343327,9.2936803,8.3343327,7.5428708,6.5595395,4.9886077,5.0125914,4.0412519,3.417676,2.9619858,2.5542631,1.7388176,1.5349562,0.935364,0.2038614,0.0479674,100,
"Paddington (Qld)",5.6158786,5.6042032,4.6117922,4.8920023,10.9165207,11.9322825,9.1885581,8.0910683,7.7875073,6.7250438,5.8727379,5.2539405,4.4016346,3.5843549,2.1482779,1.1675423,1.0858144,0.7238762,0.3152364,0.1050788,0,100,
"Pallara",3.1128405,6.4202335,5.6420233,5.2529183,7.5875486,4.6692607,5.0583658,2.9182879,4.6692607,8.5603113,9.5330739,8.5603113,9.1439689,8.1712062,4.2801556,4.0856031,0.9727626,0.9727626,0,0,0,100,
"Parkinson",7.2787428,8.0691113,7.6095947,7.5085011,6.4699936,6.1942836,7.866924,7.811782,7.2971234,7.4625494,7.3890267,6.1023803,4.5584046,3.1522838,1.8656373,1.2866464,0.7995589,0.7076555,0.5054682,0.110284,0,100,
"Petrie Terrace",3.3837934,1.8699911,2.9385574,3.8290294,18.9670525,18.6108638,12.0213713,7.2128228,6.5894924,7.2128228,5.6990205,3.2947462,3.4728406,2.0480855,1.4247551,1.2466607,0.2671416,0.6233304,0,0.2671416,0,100,
"Pinjarra Hills",3.6423841,4.8013245,3.1456954,4.8013245,4.6357616,2.8145695,2.9801325,3.9735099,2.3178808,4.3046358,5.6291391,5.2980132,6.2913907,6.1258278,6.1258278,5.794702,7.781457,9.7682119,9.2715232,1.3245033,0.6622517,100,
"Pinkenba",3.7940379,2.1680217,1.3550136,4.8780488,7.3170732,10.0271003,13.5501355,4.0650407,6.504065,5.9620596,11.9241192,8.401084,5.1490515,5.9620596,4.0650407,2.1680217,0.8130081,1.0840108,0,0,0,100,
"Pullenvale",4.2780749,8.5561497,10.4435357,9.6571249,5.2532243,1.9502988,2.2334067,4.3095313,8.430324,10.2862535,9.374017,7.8326518,5.2846807,4.8442907,2.8625354,2.3592325,1.2582573,0.2831079,0.4403901,0,0,100,
"Ransome",3.9506173,8.6419753,13.8271605,8.1481481,3.2098765,5.1851852,2.2222222,4.691358,6.6666667,10.1234568,9.382716,6.1728395,5.9259259,2.962963,2.2222222,2.962963,0.7407407,0,0,0,0,100,
"Red Hill (Brisbane - Qld)",5.4107496,4.9254,4.5838576,4.9973036,10.6417401,12.6730182,10.8214992,7.9453532,8.197016,7.4060759,6.2735934,4.9254,3.6131584,3.0199533,1.7256876,1.3122416,0.7370124,0.413446,0.2696387,0,0,100,
"Richlands (Qld)",10.0333519,7.9488605,5.3918844,6.3090606,11.0061145,12.6459144,11.7565314,8.4213452,5.975542,5.2807115,4.9193997,3.1128405,2.2790439,2.0011117,1.1117287,0.7226237,0.639244,0.4168983,0,0,0,100,
"Riverhills",7.8654465,8.2364581,6.2577294,4.9962899,5.9114519,7.4449666,10.0173139,8.1127875,7.6181054,5.8867178,5.2188969,6.5545387,5.243631,4.4768736,3.0670294,1.3109077,0.9893643,0.692555,0.0742023,0,0,100,
"Robertson (Qld)",4.4833132,5.1467632,4.4431041,5.9509449,13.4901488,11.5802171,8.061922,6.5741858,5.287495,5.7498995,4.8049859,4.6039405,4.2420587,4.6843587,3.5383997,2.8950543,2.1511862,1.4475271,0.8242863,0.1407318,0,100,
"Rochedale",8.7697161,6.6246057,6.214511,6.7823344,7.3501577,8.6119874,10.7570978,9.3059937,6.6246057,5.2681388,5.8990536,4.7949527,4.3217666,2.6182965,2.3974763,1.4826498,1.3880126,0.5993691,0.1577287,0,0,100,
"Rocklea (Qld)",6.8965517,4.7648903,3.6990596,6.0815047,8.8401254,10.5329154,9.8432602,9.3416928,5.3291536,6.3949843,6.3322884,5.015674,3.8244514,2.9467085,1.8808777,1.5047022,1.630094,2.0689655,1.3793103,0.3134796,0,100,
"Runcorn",7.5452303,6.0238487,5.1946272,5.7565789,9.2653509,11.0608553,11.0608553,8.4361294,6.4692982,5.4139254,5.3659539,5.3659539,4.6532346,3.6321272,2.0970395,1.5145285,0.6716009,0.4043311,0.1233553,0.0205592,0.0274123,100,
"Salisbury (Qld)",6.8543257,6.6793893,5.3912214,5.009542,7.6494911,8.0311705,9.351145,9.1762087,7.5222646,6.1704835,6.0114504,5.216285,4.0076336,2.6558524,2.274173,2.687659,2.1787532,1.7334606,0.9223919,0.2385496,0,100,
"Sandgate (Qld)",3.7889591,6.5797515,6.3556733,5.3778774,3.7278468,3.0556121,3.5648808,5.4797311,8.4538603,9.2686902,7.9649623,6.3353025,5.6834386,5.0723162,4.603789,4.277857,3.6056223,3.9926665,1.935221,0.6518639,0.2037075,100,
"Seven Hills (Qld)",7.1460877,8.9552239,7.8697422,6.3772049,5.7892356,5.608322,7.1913161,8.8195387,10.76436,7.3270014,6.6938037,4.8846676,3.6635007,2.6684758,2.0805066,1.6282225,1.3568521,1.0854817,0.1356852,0.1809136,0,100,
"Seventeen Mile Rocks",8.2262211,9.4748439,8.1160485,6.757253,4.4803526,3.8193169,6.20639,8.9239809,10.0257069,8.4465663,6.7205288,5.3984576,5.104664,3.4153507,2.1300037,1.9463827,0.4039662,0.367242,0.2203452,0,0,100,
"Sherwood (Qld)",5.9299699,6.814759,6.4947289,5.7981928,7.6995482,8.0195783,7.9254518,6.7959337,8.000753,7.8125,6.2311747,5.8358434,4.5368976,4.3298193,3.1814759,2.0143072,1.1106928,0.8471386,0.4518072,0.188253,0,100,
"Shorncliffe",4.16,7.36,7.4666667,6.6133333,5.2266667,2.4,3.6266667,5.0133333,9.3333333,9.2266667,8.5333333,7.9466667,8.4266667,5.28,3.36,2.0266667,1.6533333,1.0133333,0.2666667,0,0,100,
"Sinnamon Park",5.7833203,6.6874513,7.248636,6.8277475,4.832424,4.0374123,5.3936087,6.9836321,7.7474669,7.7318784,7.2798129,7.6383476,5.1441933,4.629774,3.3826968,2.618862,2.0109119,1.8238504,1.4185503,0.6235386,0.0623539,100,
"South Brisbane",2.5277778,1.9027778,4.1388889,6.7222222,16.0277778,17.3333333,12.3194444,7.9583333,6.6666667,5.2361111,4.2361111,4.0833333,3.3888889,2.6944444,1.75,1.5,0.6666667,0.5138889,0.1388889,0,0,100,
"Spring Hill (Qld)",2.3259705,1.8239625,1.9912985,5.3714859,14.1566265,20.3480589,15.060241,8.4839357,5.7730924,5.957162,4.4009371,4.3507363,3.6311914,2.6271754,1.6398929,0.9370817,0.502008,0.4350736,0.0502008,0,0,100,
"St Lucia",2.7196819,3.3558648,2.5049702,17.0576541,30.0357853,10.4572565,6.2027833,4.8031809,3.44334,2.7435388,2.8866799,2.6640159,2.9184891,2.9025845,2.0119284,1.582505,0.7793241,0.6361829,0.2942346,0.0715706,0,100,
"Stafford",6.4215985,5.780964,4.3166565,4.881025,9.2739475,11.4399024,10.8602807,7.5350824,7.2452715,5.85723,5.4453935,4.5149481,4.1793777,3.90482,2.3337401,1.8608908,1.8608908,1.7388652,0.5491153,0.0457596,0,100,
"Stafford Heights",6.5115598,6.0725783,5.5458004,5.7360258,6.5261926,6.2628036,8.0187299,6.9066433,6.555458,7.1700322,6.7017852,5.516535,5.3848405,4.4483465,4.111794,3.7167106,2.707053,1.2584138,0.6584723,0.1316945,0,100,
"Stretton",5.5594002,6.1591696,6.7589389,7.7508651,8.0276817,8.0046136,6.805075,5.4901961,6.4359862,7.266436,7.1049596,7.6124567,6.4359862,4.7750865,2.9065744,1.5686275,0.899654,0.2306805,0.0692042,0.0922722,0,100,
"Sumner",9.1525424,7.7966102,3.220339,6.440678,6.6101695,14.5762712,11.6949153,10,5.7627119,5.9322034,6.2711864,5.4237288,2.3728814,2.8813559,1.3559322,0,0.5084746,0,0,0,0,100,
"Sunnybank",4.5752385,4.2188757,3.9659731,6.0926543,13.2199103,12.6681228,8.9205656,6.3800437,5.7592827,4.7016898,5.0350615,4.9775836,5.2074951,4.4372916,3.4486723,2.7704334,2.0002299,1.0575928,0.3793539,0.1494425,0,100,
"Sunnybank Hills",6.186764,5.9434953,4.7216233,5.7389285,9.0728147,9.2994969,8.5973351,7.0050312,6.153591,5.4348427,5.5785924,5.3684967,5.3297949,5.0478244,3.7485487,2.4713883,1.4706695,1.5923039,0.9233151,0.2709128,0.0221153,100,
"Taigum",6.2807882,5.6958128,5.0184729,5.0954433,6.4655172,7.2044335,8.2820197,7.0504926,6.0190887,6.080665,6.3423645,5.8189655,4.5874384,5.1724138,3.7561576,4.0486453,3.2481527,2.5400246,1.0621921,0.2616995,0.1539409,100,
"Taringa",4.0840697,3.8213518,3.3675663,5.5648436,17.9006449,13.386673,9.8280392,7.1650346,5.7678529,4.5856222,3.9765942,4.203487,3.5825173,3.857177,2.9854311,2.1375687,1.7434918,1.301648,0.5851445,0.1910676,0,100,
"Tarragindi",7.5389466,8.0396884,6.9362018,6.4540059,6.240727,5.4339763,6.8063798,7.7614985,8.6609792,7.5389466,6.5560089,5.5823442,4.0337537,3.5979228,2.8004451,2.1977003,1.8453264,1.3074926,0.6120178,0.074184,0,100,
"Teneriffe",3.6530536,1.8358936,1.4612214,2.4541027,6.6129637,16.3731735,18.0591982,10.9029599,8.41139,6.6129637,6.6129637,5.9198202,4.4773323,3.3907831,1.2738854,1.0678157,0.4870738,0.2248033,0.1873361,0,0,100,
"Tennyson (Qld)",6.372549,5,5.1960784,5.1960784,5.7843137,6.9607843,5.0980392,6.0784314,7.745098,6.372549,6.5686275,8.1372549,9.6078431,5.8823529,4.4117647,2.6470588,1.0784314,0.2941176,0.2941176,0,0,100,
"The Gap (Brisbane - Qld)",5.5665408,7.5438912,8.203008,7.2383007,5.5066211,3.8648211,4.6198095,6.0638744,8.0232488,8.4307029,6.8787824,6.2076817,5.6923722,5.1770627,4.4400503,2.9720175,1.8635029,1.1085146,0.4254299,0.1018635,0,100,
"Tingalpa",7.0213536,6.3578236,5.3926891,5.9476415,5.9717698,6.9610327,8.1915792,7.6969478,7.648691,6.9007118,6.9730969,6.0079624,5.0669562,5.3082398,3.7157679,2.4369647,1.5200869,0.6997225,0.1809627,0.0482567,0,100,
"Toowong",3.9704524,3.4995383,3.2686981,7.1929825,19.4275162,14.6260388,10.212373,7.0083102,5.3185596,4.3951985,4.3859649,3.933518,3.7765466,3.1024931,2.299169,1.6712835,1.0341644,0.5817175,0.2493075,0.0461681,0.0277008,100,
"Upper Brookfield",4.8469388,7.5255102,8.5459184,7.3979592,4.0816327,2.1683673,4.8469388,7.5255102,5.1020408,10.7142857,9.9489796,5.6122449,5.7397959,5.4846939,5.2295918,2.4234694,1.2755102,0.6377551,0.5102041,0,0,100,
"Upper Kedron",9.3563053,10.5288346,9.1170136,7.4180426,4.7619048,5.8147882,7.4180426,7.9444843,10.2177554,8.4709261,5.4079923,4.8815506,3.0390045,2.4886336,1.6511127,0.9093084,0.6460876,0.2153625,0,0,0,100,
"Upper Mount Gravatt",5.896992,4.6310322,3.9060809,6.3838996,13.6442329,10.6037654,8.6344947,6.4055399,5.7455096,5.2802424,4.5444709,3.8519801,3.3001515,3.1053884,3.3109717,3.3867128,3.4083532,2.304696,1.3092404,0.3462454,0.0324605,100,
"Virginia (Qld)",8.1215971,6.8511797,5.3085299,4.1288566,5.5807623,8.3030853,9.6188748,8.938294,9.0290381,7.0780399,5.3085299,5.9437387,4.9001815,3.2214156,2.0417423,1.9963702,1.1343013,1.2250454,0.6805808,0,0,100,
"Wacol",1.0364071,1.0629817,0.9035344,4.6505448,13.2872708,16.4230667,15.8650013,12.5697582,10.4172203,7.3345735,5.1288865,3.5875631,2.5245815,1.9930906,1.1692798,1.0364071,0.4517672,0.29232,0.1062982,0,0,100,
"Wakerley",8.9230769,11.4911243,8.8047337,5.5739645,4.3905325,4.3313609,7.1360947,9.4201183,10.4497041,8.4970414,6.0710059,4.7100592,3.4911243,2.6153846,1.8343195,1.1242604,0.4497041,0.3431953,0.0828402,0,0,100,
"Wavell Heights",7.5859222,7.4104655,6.4093302,5.2017752,5.1604913,6.7912065,8.1122923,7.9265146,9.1650325,7.8645887,6.0171328,5.4185158,4.9437506,3.550418,2.4151099,1.5791103,1.8164929,1.6307152,0.7224688,0.1341728,0,100,
"West End (Brisbane - Qld)",3.2721132,3.9054254,5.6892548,5.3409331,10.3335444,12.5606924,10.4179861,8.5074942,8.2541693,6.9981001,6.2275702,5.3092675,4.3698543,3.2615579,1.9632679,1.5093941,0.9710787,0.7177539,0.3588769,0.0633312,0,100,
"Westlake",5.2402746,6.4988558,6.819222,8.1922197,6.6361556,4.1189931,4.5308924,5.194508,6.6590389,7.3913043,8.9244851,8.3066362,7.6659039,6.5217391,3.8443936,2.01373,1.1670481,0.5034325,0.1372998,0,0,100,
"Willawong",4.4692737,3.3519553,1.6759777,8.3798883,12.2905028,7.2625698,3.3519553,2.7932961,6.7039106,6.7039106,10.0558659,7.2625698,9.4972067,10.0558659,2.7932961,0,2.7932961,0,0,0,0,100,
"Wilston",5.9018062,7.3772577,7.4281353,6.2325108,7.6825235,7.3772577,7.5044518,6.9702366,8.2167387,8.598321,7.6825235,6.3597049,4.1210888,3.4596795,1.7298397,1.3228186,1.1447469,0.7122869,0.3052658,0,0,100,
"Windsor (Qld)",5.6943057,5.2233481,4.1958042,4.7238476,11.8167547,13.3295276,11.47424,7.7065791,7.9349222,6.8788355,5.4374197,4.124447,3.3537891,2.8971029,1.8267447,1.1845298,0.9419152,0.8991009,0.3425146,0.0999001,0,100,
"Wishart (Qld)",4.9878573,6.7905847,8.1356249,7.5471698,5.8285074,4.9318139,6.3142163,6.258173,7.8460676,7.7152998,6.9493742,5.3895012,4.9971978,5.0532412,3.8389688,3.1010648,1.980198,1.3450402,0.7565851,0.1868111,0,100,
"Woolloongabba",3.7464489,2.8231534,3.178267,4.9715909,17.2762784,16.6903409,12.8551136,7.8302557,5.5752841,5.5042614,4.7230114,4.0660511,3.125,2.5568182,1.8465909,1.4559659,0.6924716,0.6924716,0.390625,0,0,100,
"Wooloowin",5.5809234,4.7437849,4.7691527,5.3526129,9.0816844,12.3795028,10.6544901,8.3206494,7.2298326,7.3059361,5.9614409,5.5809234,4.1603247,3.5261289,2.1816337,1.4713343,1.0147133,0.7102993,0.456621,0.0761035,0,100,
"Wynnum",5.9566228,6.4756003,5.6777692,6.0650658,5.0890782,4.9031758,5.9101472,6.7544539,7.908598,8.1719597,7.9163439,7.0100697,5.7319907,5.1510457,3.5398916,2.6413633,2.439969,1.6886135,0.7048799,0.2401239,0.0232378,100,
"Wynnum West",6.8603516,6.4941406,5.851237,6.1442057,5.851237,6.0221354,6.8359375,7.1370443,7.7148438,6.7138672,6.3151042,5.5257161,4.9153646,4.9804688,4.2317708,2.9296875,2.327474,1.7903646,1.0660807,0.2685547,0.0488281,100,
"Yeerongpilly",4.9120993,6.1013444,5.4808687,6.9286453,10.910031,10.8066184,8.893485,7.1871768,7.0837642,7.0837642,6.1013444,4.9638056,4.7569804,3.3092037,2.3784902,1.4994829,1.0858325,0.3102378,0.1551189,0.2068252,0,100,
"Yeronga",4.7735618,4.2686659,4.8653611,6.2423501,9.6542228,8.6444308,8.246634,7.2215422,6.2576499,7.1603427,6.3341493,5.875153,4.7735618,3.7178703,3.3047736,2.6009792,2.9069767,2.1725826,0.9179927,0.1529988,0,100,
"Zillmere",7.4933095,5.720339,4.2149866,5.2297056,9.087868,10.5374665,10.5374665,7.5936664,5.9656557,5.352364,5.3077609,5.3746655,4.4714541,3.8024086,3.1779661,2.4531668,1.8398751,1.3492417,0.4237288,0.1003568,0,100,
"England Creek",0,13.7931034,13.7931034,0,0,0,0,0,13.7931034,10.3448276,10.3448276,0,10.3448276,0,13.7931034,0,0,0,0,0,0,100,
"Larapinta (Qld)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lytton",55.5555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,
"Mount Coot-tha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Port Of Brisbane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",6.0061815,6.032217,5.5907599,6.1896659,8.6842249,8.7678035,8.519186,7.4129839,7.2550937,6.8600593,6.122503,5.4393124,4.642095,3.9948247,2.92772,2.1523018,1.5570143,1.1397394,0.5530128,0.1369735,0.0158861,100,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
